"measure_code","measure_name","measure_type","denominator_criteria","numerator_criteria","exclusion_criteria","denominator_exception","description","active_ind","effective_start_date","effective_end_date"
"CMS124v12","Cervical Cancer Screening","Process","Women aged 24-64 years at the end of the measurement period (2025) who had an encounter during the period.","Patients in the denominator who had cervical cytology (Pap test - specific LOINC codes) within the last 3 years OR, for women aged 30-64, had HPV testing (specific LOINC codes) within the last 5 years.","Patients with evidence of hysterectomy with no residual cervix (specific ICD-10 codes) or who received hospice care (ICD-10 Z51.5).","","Percentage of women 24-64 years of age who were screened for cervical cancer using either of the following criteria: Women aged 24-64 who had cervical cytology screened within the last 3 years. Women aged 30-64 who had human papillomavirus (HPV) testing within the last 5 years.","Y","2025-01-01","2025-12-31"
"CMS125v12","Breast Cancer Screening","Process","Women aged 52-74 years at the end of the measurement period (2025) who had an encounter during the period.","Patients in the denominator who had a mammogram (specific LOINC codes) between October 1, 2023, and December 31, 2025.","Patients with bilateral mastectomy status (ICD-10 Z90.13), two unilateral mastectomies (ICD-10 Z90.11 & Z90.12), hospice care (ICD-10 Z51.5), or patients aged 66+ residing in a nursing home or with specific advanced illness diagnoses (dementia).","","Percentage of women 52-74 years of age who had a mammogram to screen for breast cancer in the 27 months prior to the end of the measurement period.","Y","2025-01-01","2025-12-31"
"CMS128v12","Anti-depressant Medication Management","Process","Patients 18+ with a diagnosis of major depression (ICD-10 F32.x) and an antidepressant medication order (Index Prescription Start Date - IPSD) during the measurement period (2025), who also had an eligible encounter within 60 days of the IPSD.","Rate 1 (Acute Phase): Patients in the denominator who remained on an antidepressant medication for at least 84 days (12 weeks) during the 114-day period following the IPSD. Rate 2 (Continuation Phase): Patients in the denominator who remained on an antidepressant medication for at least 180 days (6 months) during the 231-day period following the IPSD.","Patients with prior antidepressant use within 105 days before IPSD, or patients receiving hospice care.","","Percentage of patients 18 years of age and older who were diagnosed with depression and treated with antidepressant medication, and who remained on an antidepressant medication treatment. Two rates are reported: a) Percentage of patients who remained on an antidepressant medication for at least 84 days (12 weeks). b) Percentage of patients who remained on an antidepressant medication for at least 180 days (6 months).","Y","2025-01-01","2025-12-31"
"CMS129v13","Prostate Cancer: Avoidance of Overuse of Bone Scan for Staging Low Risk Patients","Process","Patients with a diagnosis of prostate cancer (ICD-10 C61.x) who meet low-risk criteria (specific T stage, PSA < 10, Gleason score <= 6) and received specific prostate cancer treatments (radical prostatectomy, external beam radiation, or brachytherapy) during the measurement period (2025).","Patients in the denominator who did not have a bone scan (CPT 78306 or 78300) performed at any time since diagnosis.","Patients with a diagnosis of pain (ICD-10 M54.x or R52.x) or history of irradiation (ICD-10 Z92.3).","","Percentage of patients, regardless of age, with a diagnosis of prostate cancer at low risk of recurrence receiving specific prostate cancer treatments who did not have a bone scan performed at any time since diagnosis.","Y","2025-01-01","2025-12-31"
"CMS130v12","Colorectal Cancer Screening","Process","Patients aged 46-75 years at the end of the measurement period (2024) who had an eligible encounter during the period.","Patients in the denominator who had appropriate screening for colorectal cancer via one of several methods: Fecal occult blood test (FOBT) during the measurement period, FIT-DNA test within the last 2 years, Flexible sigmoidoscopy within the last 4 years, CT colonography within the last 4 years, or Colonoscopy within the last 9 years.","Patients with hospice encounters, total colectomy, colorectal cancer diagnosis, or patients aged 66+ residing in a long-term nursing home or with advanced illness and frailty.","","Percentage of adults 46-75 years of age who had appropriate screening for colorectal cancer.","Y","2024-01-01","2024-12-31"
"CMS131v12","Diabetes: Eye Exam","Process","Patients aged 18-75 years at the end of the measurement period (2024) with a diagnosis of type 1 or type 2 diabetes and at least one encounter during the period.","Patients in the denominator who received a retinal or dilated eye exam (specific CPT codes) by an eye care professional during the measurement period (2024) OR, if they have no history of diabetic retinopathy, during the measurement period or the year prior (2023).","Patients receiving hospice care, palliative care, or patients aged 66+ residing in a nursing home or with specific advanced illness and frailty conditions.","","Percentage of patients 18-75 years of age with diabetes (type 1 or type 2) who had a retinal eye exam.","Y","2024-01-01","2024-12-31"
"CMS133v12","Cataracts: 20/40 or Better Visual Acuity within 90 Days Following Cataract Surgery","Outcome","Patients aged 18+ who had cataract surgery (CPT 66982 or 66984) between January 1 and September 30, 2024.","Patients in the denominator who achieved best-corrected visual acuity of 20/40 or better (based on specific LOINC codes and values) within 90 days following the cataract surgery.","Patients with specific significant ocular conditions (e.g., vitreous hemorrhage, retinal detachment, glaucoma, chorioretinal inflammation) present before or on the date of surgery.","","Percentage of patients aged 18 years and older who had cataract surgery and achieved best-corrected visual acuity of 20/40 or better in the operative eye within 90 days following the cataract surgery.","Y","2024-01-01","2024-12-31"
"CMS135v12","Heart Failure: Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) or Angiotensin Receptor-Neprilysin Inhibitor (ARNI) Therapy for Left Ventricular Systolic Dysfunction (LVSD)","Process","Patients aged 18+ with an active diagnosis of heart failure (ICD-10 I50.x) and at least two eligible encounters during the measurement period (2024), AND evidence of LVSD (LVEF <= 40% or moderate/severe dysfunction).","Patients in the denominator who were prescribed or were actively taking an ACE inhibitor, ARB, or ARNI during the measurement period.","Patients with heart transplant (ICD-10 Z94.1) or LVAD (ICD-10 Z95.811).","Patients with documented medical contraindications (e.g., anaphylaxis, acute kidney failure, orthostatic hypotension) or patient refusal (not explicitly coded in this example).","Percentage of patients aged 18 years and older with a diagnosis of heart failure with a current or prior LVEF < 40% who were prescribed ACE inhibitor or ARB or ARNI therapy.","Y","2024-01-01","2024-12-31"
"CMS136v13","Follow-Up Care for Children Prescribed ADHD Medication","Process","Rate 1 (Initiation Phase): Patients aged 6-12 years who had a new prescription dispensed for ADHD medication (ATC N06BA) during the measurement period (2024), had no prior ADHD medication in the previous 120 days, and had an eligible encounter in the 6 months prior to the prescription start date (IPSD). Rate 2 (Continuation Phase): Patients from Rate 1 who remained on ADHD medication for at least 210 days (7 months) within the 300 days following the IPSD.","Rate 1: Patients in the Rate 1 denominator who had at least one follow-up visit with a qualified provider within 30 days after the IPSD. Rate 2: Patients in the Rate 2 denominator who had at least two follow-up visits with a qualified provider between 31 and 300 days after the IPSD.","Patients with a diagnosis of narcolepsy (ICD-10 G47.4) or who received hospice care during the measurement period.","","Percentage of children aged 6 to 12 years who had a newly prescribed ADHD medication and had at least one follow-up visit during the 30-day Initiation Phase, and remained on the medication for at least 210 days and had at least two additional follow-up visits during the Continuation Phase (next 270 days).","Y","2024-01-01","2024-12-31"
"CMS137v12","Initiation and Engagement of Substance Use Disorder Treatment","Process","Patients aged 13+ with a new episode of Substance Use Disorder (SUD) diagnosis (ICD-10 F1x.x) during the measurement period (Jan 1 - Nov 14, 2024), defined as no prior SUD diagnosis or treatment within the preceding 60 days.","Rate 1 (Initiation): Patients in the denominator who initiated treatment within 14 days of the new SUD diagnosis. Initiation is defined as an SUD-related encounter (office visit, outpatient) or an SUD medication order (ATC N07B). Rate 2 (Engagement): Patients who initiated treatment (met Rate 1 numerator) AND had two or more additional SUD-related encounters or SUD medication orders within 34 days of the initiation event OR received specific long-acting SUD medications.","Patients receiving hospice care during the measurement period.","","Percentage of patients aged 13 years and older with a new episode of alcohol or other drug (AOD) dependence who initiate treatment through an inpatient AOD admission, outpatient visit, intensive outpatient encounter, or partial hospitalization within 14 days of the diagnosis (Rate 1) and who initiated treatment and had two or more additional AOD services or remained continuously enrolled in treatment for 34 days (Rate 2).","Y","2024-01-01","2024-12-31"
"CMS138v12","Tobacco Use: Screening and Cessation Intervention","Process","Pop 1 & 3: Patients aged 12+ with at least 2 encounters or 1 preventive encounter during the measurement period (2024). Pop 2: Patients from Pop 1 who were identified as tobacco users via screening during the measurement period.","Pop 1: Patients in the Pop 1 denominator who were screened for tobacco use (specific observation code) during the measurement period. Pop 2: Patients in the Pop 2 denominator who received tobacco cessation intervention (counseling or medication - specific observation/procedure codes) during the measurement period or the 6 months prior. Pop 3: Patients in the Pop 1 denominator who were screened and either identified as a non-user OR identified as a user and received cessation intervention.","Patients receiving hospice care during the measurement period.","","Percentage of patients aged 12 years and older who were screened for tobacco use one or more times within 24 months AND who received cessation counseling intervention if identified as a tobacco user. Three rates are reported: 1) Percentage screened, 2) Percentage of users receiving intervention, 3) Percentage screened AND (non-user OR user receiving intervention).","Y","2024-01-01","2024-12-31"
"CMS139v12","Falls: Screening for Future Fall Risk","Process","Patients aged 65+ at the start of the measurement period (2024) who had an eligible encounter (Outpatient, Annual Wellness, Office Visit) during the period.","Patients in the denominator who were screened for future fall risk (using specific observation codes) during the measurement period.","Patients receiving hospice care during the measurement period.","","Percentage of patients 65 years of age and older who were screened for future fall risk during the measurement period.","Y","2024-01-01","2024-12-31"
"CMS142v12","Diabetic Retinopathy: Communication with the Physician Managing Ongoing Diabetes Care","Process","Patients aged 18+ with an active diagnosis of diabetic retinopathy (specific ICD-10 codes) who had a dilated retinal eye exam (specific CPT codes) during the measurement period (2024).","Patients in the denominator for whom there is documentation that the findings of the dilated eye exam were communicated to the physician managing the patient's ongoing diabetes care (using a specific observation code) after the eye exam.","None explicitly defined (handled as exceptions).","Patients with documented medical or patient reasons for not communicating the findings.","Percentage of patients aged 18 years and older with a diagnosis of diabetic retinopathy who had a dilated eye exam by an eye care professional during the measurement period whose results were communicated to the physician managing the patient's ongoing diabetes care.","Y","2024-01-01","2024-12-31"
"CMS143v12","Primary Open-Angle Glaucoma (POAG): Optic Nerve Evaluation","Process","Patients aged 18+ with an active diagnosis of Primary Open-Angle Glaucoma (POAG - specific ICD-10 codes) and an encounter during the measurement period (2024).","Patients in the denominator who had an optic nerve evaluation (using specific observation codes like 'OPTIC_NERVE_EVAL', 'CUP_TO_DISC_RATIO', 'OPTIC_DISC_STRUCTURE') performed during the measurement period.","None explicitly defined (handled as exceptions).","Patients with documented medical reasons for not performing the optic nerve evaluation (using specific exception observation codes).","Percentage of patients aged 18 years and older with a diagnosis of primary open-angle glaucoma (POAG) who have an optic nerve head evaluation during the measurement period.","Y","2024-01-01","2024-12-31"
"CMS144v12","Heart Failure: Beta-Blocker Therapy for Left Ventricular Systolic Dysfunction (LVSD)","Process","Patients aged 18+ with an active diagnosis of heart failure (specific ICD-10 codes), at least two eligible encounters during the measurement period (2024), AND evidence of LVSD (LVEF <= 40% or moderate/severe dysfunction).","Patients in the denominator who were prescribed or were actively taking specific beta-blocker therapy (Carvedilol, Metoprolol Succinate, Bisoprolol) during the measurement period.","Patients with heart transplant (ICD-10 Z94.1) or LVAD (ICD-10 Z95.811).","Patients with documented medical or patient reasons for not receiving beta-blocker therapy (using specific exception observation codes).","Percentage of patients aged 18 years and older with a diagnosis of heart failure with a current or prior LVEF < 40% who were prescribed beta-blocker therapy approved by the FDA for heart failure.","Y","2024-01-01","2024-12-31"
"CMS145v12","Coronary Artery Disease (CAD): Beta-Blocker Therapy-Prior Myocardial Infarction (MI) or Left Ventricular Systolic Dysfunction (LVSD)","Process","Patients aged 18+ with a diagnosis of CAD (specific ICD-10 codes) or history of cardiac surgery (CABG, PCI) who had at least two eligible encounters during the measurement period (2024) AND meet criteria for either: 1) Evidence of LVSD (LVEF <= 40% or moderate/severe dysfunction). 2) History of MI (specific ICD-10 codes) within the last 3 years.","Patients in the denominator (either population) who were prescribed or were actively taking specific beta-blocker therapy (Carvedilol, Metoprolol Succinate, Bisoprolol) during the measurement period.","None explicitly defined (handled as exceptions).","Patients with documented medical or patient reasons for not receiving beta-blocker therapy (using specific exception observation codes).","Percentage of patients aged 18 years and older with a diagnosis of coronary artery disease (CAD) and prior myocardial infarction (MI) or current or prior left ventricular systolic dysfunction (LVSD) who were prescribed a beta-blocker.","Y","2024-01-01","2024-12-31"
"CMS146v12","Appropriate Testing for Children with Pharyngitis","Process","Patients aged 3+ with an encounter during the measurement period (Jan 1 - Dec 28, 2024) with a diagnosis of pharyngitis (specific ICD-10 codes) and an antibiotic ordered within 3 days of the encounter.","Patients in the denominator who had a Group A Streptococcus (strep) test (specific LOINC codes) performed within a 7-day window around the encounter date (-3 to +3 days).","Patients receiving hospice care, patients with specific comorbid conditions in the prior 12 months, patients receiving antibiotics in the prior 30 days, or patients with specific competing diagnoses within 3 days of the encounter.","","Percentage of children 3 years of age and older with a diagnosis of pharyngitis, who were prescribed an antibiotic and received a group A streptococcus (strep) test for the episode.","Y","2024-01-01","2024-12-31"
"CMS149v12","Dementia: Cognitive Assessment","Process","Patients with an active diagnosis of dementia (specific ICD-10 codes like F01, F02, F03, G30, G31.83) who had at least two encounters during the measurement period (2024).","Patients in the denominator who had a cognitive assessment (using specific LOINC codes like MMSE, MOCA, Clock Drawing Test) performed during the measurement period or the 12 months prior.","None explicitly defined (handled as exceptions).","Patients with documented reasons preventing cognitive assessment (specific codes needed).","Percentage of patients, regardless of age, with a diagnosis of dementia for whom an assessment of cognition is performed and the results reviewed at least once within a 12-month period.","Y","2024-01-01","2024-12-31"
"CMS153v12","Chlamydia Screening for Women","Process","Women aged 16-24 years at the end of the measurement period (2024) who were identified as sexually active (based on diagnoses, medications, procedures, or lab tests).","Patients in the denominator who had a test for chlamydia (specific LOINC codes) during the measurement period.","Patients receiving hospice care or patients who had a pregnancy test followed closely by specific X-ray procedures.","","Percentage of women 16-24 years of age who were identified as sexually active and who had at least one test for chlamydia during the measurement period.","Y","2024-01-01","2024-12-31"
"CMS154v12","Appropriate Treatment for Children with Upper Respiratory Infection (URI)","Process","Patients aged 3 months or older with an encounter during the measurement period (Jan 1 - Dec 28, 2024) with a diagnosis of URI (specific ICD-10 codes).","Patients in the denominator who were not prescribed or dispensed an antibiotic within 3 days of the URI encounter.","Patients receiving hospice care, patients with specific comorbid conditions in the prior 12 months, patients receiving antibiotics in the prior 30 days, or patients with specific competing diagnoses within 3 days of the encounter.","","Percentage of children 3 months of age and older with a diagnosis of upper respiratory infection (URI) who were not prescribed or dispensed an antibiotic on or within 3 days of the initial date of service.","Y","2024-01-01","2024-12-31"
"CMS155v12","Weight Assessment and Counseling for Nutrition and Physical Activity for Children and Adolescents","Process","Patients aged 3-17 years at the end of the measurement period (2024) who had an eligible encounter (Outpatient/Office Visit with PCP or OB/GYN) during the period.","Rate 1 (BMI): Patients in the denominator who had BMI percentile documented (or height/weight) during the measurement period. Rate 2 (Nutrition): Patients in the denominator who received nutrition counseling (specific observation codes) during the measurement period. Rate 3 (Physical Activity): Patients in the denominator who received physical activity counseling (specific observation codes) during the measurement period.","Patients who were pregnant or received hospice care during the measurement period.","","Percentage of patients 3-17 years of age who had an outpatient visit with a PCP or OB/GYN and who had evidence of BMI percentile documentation (Rate 1), counseling for nutrition (Rate 2), and counseling for physical activity (Rate 3) during the measurement period.","Y","2024-01-01","2024-12-31"
"CMS156v12","Use of High-Risk Medications in Older Adults","Process","Patients aged 65+ at the end of the measurement period (2024) who had an encounter during the period.","Rate 1: Patients in the denominator who received at least two orders for the same high-risk medication class OR had a total days supply > 90 days OR exceeded dose limits (specific codes/criteria needed). Rate 2: Patients in the denominator who received an antipsychotic or benzodiazepine medication without an appropriate diagnosis (specific codes needed). Rate 3: Patients in the denominator who meet the criteria for either Rate 1 or Rate 2.","Patients receiving hospice or palliative care.","","Percentage of patients 65 years of age and older who received high-risk medications. Three rates are reported: 1) Received at least two different high-risk medications or was dispensed a high-risk medication for over 90 days, 2) Received antipsychotics or benzodiazepines without appropriate diagnosis, 3) Met criteria for either Rate 1 or Rate 2.","Y","2024-01-01","2024-12-31"
"CMS157v12","Oncology: Medical and Radiation - Pain Intensity Quantified","Process","Pop 1: Encounters for patients with an active cancer diagnosis (ICD-10 C codes) who received chemotherapy (specific procedure codes) within 30 days of the encounter. Pop 2: Encounters for patients with an active cancer diagnosis who received radiation therapy management (specific procedure codes).","Encounters in the denominator where pain intensity was quantified (using specific LOINC codes) on the date of the encounter OR, for radiation therapy patients, within the 6 days prior to the encounter.","None explicitly defined.","","Percentage of patient encounters, for patients with a diagnosis of cancer receiving chemotherapy or radiation therapy, during which pain intensity was quantified.","Y","2024-01-01","2024-12-31"
"CMS159v12","Depression Remission at Twelve Months","Outcome","Patients aged 12+ with a diagnosis of depression (specific ICD-10 codes) and an initial PHQ-9 score > 9 during an encounter occurring between 14 and 2 months prior to the start of the measurement period (2024).","Patients in the denominator who achieve remission at twelve months, defined as a PHQ-9 score < 5 documented during the 4-month window from 10 months to 14 months after the initial PHQ-9 score > 9 event.","Patients with diagnoses of Bipolar Disorder, Personality Disorder, Schizophrenia, Psychotic Disorder, or Pervasive Developmental Disorder.","","Percentage of patients aged 12 years and older with a diagnosis of depression and an initial PHQ-9 score > 9 who achieve remission at 12 months (+/- 60 days) defined as a PHQ-9 score less than 5.","Y","2024-01-01","2024-12-31"
"CMS165v12","Controlling High Blood Pressure","Outcome","Patients aged 18-85 years at the end of the measurement period (2024) with an active diagnosis of essential hypertension (ICD-10 I10.x) that started before or during the first 6 months of the measurement period, and who had an encounter during the measurement period.","Patients in the denominator whose most recent blood pressure reading (specific LOINC codes) during the measurement period was < 140/90 mmHg.","Patients with evidence of pregnancy, End-Stage Renal Disease (ESRD), dialysis, or patients aged 66+ residing in a nursing home or meeting specific frailty/advanced illness criteria.","","Percentage of patients 18-85 years of age who had a diagnosis of essential hypertension and whose blood pressure was adequately controlled (<140/90 mmHg) during the measurement period.","Y","2024-01-01","2024-12-31"
"CMS177v12","Child and Adolescent Major Depressive Disorder (MDD): Suicide Risk Assessment","Process","Encounters for patients aged 6-16 years at the start of the measurement period (2024) with an active diagnosis of Major Depressive Disorder (MDD - specific ICD-10 codes) during the measurement period.","Encounters in the denominator where a suicide risk assessment was performed (using specific LOINC codes like PHQ-9, PHQ-9M, C-SSRS) during the encounter.","None explicitly defined.","","Percentage of encounters for patients aged 6 through 16 years with a diagnosis of major depressive disorder (MDD) that include a note indicating assessment for suicide risk.","Y","2024-01-01","2024-12-31"
"CMS249v6","Appropriate Use of DXA Scans for Osteoporosis in Women Under 65 Years","Process","Women aged 50-63 years at the start of the measurement period (2024) who had an encounter during the period AND do not have specific risk factors for osteoporosis (low BMI <= 20, high alcohol use, specific historical conditions like osteoporosis/osteopenia/bariatric surgery/family history, specific current conditions like RA/hyperthyroidism/T1DM/ESRD/etc., or long-term glucocorticoid use).","Patients in the denominator who had a DXA scan (specific CPT codes) ordered during the measurement period. (Note: This is an inverse measure, so a lower numerator is better).","Patients with specific risk assessment scores (FRAX >= 8.4, ORAI >= 9, OSIRIS < 1, OST < 2) indicating high risk, justifying the DXA scan (these are effectively numerator exclusions).","","Percentage of women 50-63 years of age without specific risk factors for osteoporosis who had a DXA scan ordered.","Y","2024-01-01","2024-12-31"
"CMS314v1","HIV Viral Load Suppression","Outcome","Patients with an active HIV diagnosis (ICD-10 B20 or Z21) diagnosed before or within the first 90 days of the measurement period (2024), who had at least one encounter within the first 240 days of the measurement period.","Patients in the denominator whose most recent HIV viral load test (specific LOINC codes) during the measurement period was < 200 copies/mL.","None explicitly defined.","","Percentage of patients living with HIV who have a suppressed viral load (<200 copies/mL) at the last HIV viral load test during the measurement period.","Y","2024-01-01","2024-12-31"
"CMS347v7","Statin Therapy for the Prevention and Treatment of Cardiovascular Disease","Process","Patients meeting criteria for any of the following four populations: 1) Patients with an active diagnosis of Atherosclerotic Cardiovascular Disease (ASCVD - specific ICD-10 codes). 2) Patients aged 20-75 with LDL-C >= 190 mg/dL or a diagnosis of familial hypercholesterolemia (ICD-10 E78.01). 3) Patients aged 40-75 with diabetes (ICD-10 E10.x, E11.x). 4) Patients aged 40-75 with an ASCVD risk score >= 20% (specific LOINC code).","Patients in the denominator who were actively prescribed or taking statin therapy (ATC C10AA) during the measurement period (2024).","Patients who are breastfeeding (ICD-10 Z39.1) or have rhabdomyolysis (ICD-10 M62.82).","Patients with specific liver disease diagnoses (ICD-10 B15.x, B16.x, K7x.x), ESRD, palliative care, or statin allergy (specific codes needed).","Percentage of patients who were prescribed or were on statin therapy during the measurement period, among four populations: 1) Patients with clinical ASCVD, 2) Patients with LDL >= 190 or familial hypercholesterolemia, 3) Patients aged 40-75 with diabetes, 4) Patients aged 40-75 with ASCVD risk score >= 20%.","Y","2024-01-01","2024-12-31"
"CMS349v6","HIV Screening","Process","Patients aged 15-65 at the start of the measurement period (2024) who had an eligible outpatient encounter during the period.","Patients in the denominator who had an HIV screening test (specific LOINC codes) performed between the ages of 15 and 65.","Patients with a prior diagnosis of HIV (ICD-10 B20 or Z21) before the measurement period.","Patients documented as deceased (using placeholder ICD-10 Z76.82 - likely needs correction).","Percentage of patients aged 15-65 at the start of the measurement period who had an outpatient visit and were screened for HIV.","Y","2024-01-01","2024-12-31"
"CMS645v7","Bone Density Evaluation for Patients with Prostate Cancer and Receiving Androgen Deprivation Therapy (ADT)","Process","Male patients with an active diagnosis of prostate cancer (ICD-10 C61.x) who initiated or were actively on ADT (specific ATC codes L02AE, L02BB) intended for >= 12 months, and had an encounter during the measurement period (2024).","Patients in the denominator who had a bone density evaluation (DXA scan - specific LOINC codes) performed within 2 years prior to or 3 months after the start of ADT.","None explicitly defined (handled as exceptions).","Patients who declined the bone density evaluation (specific SNOMED codes).","Percentage of male patients with prostate cancer receiving Androgen Deprivation Therapy (ADT) for >= 12 months who had a baseline bone density evaluation performed within 2 years prior to or 3 months after initiation of ADT.","Y","2024-01-01","2024-12-31"
"CMS646v4","Intravesical Bacillus Calmette-Guerin (BCG) for Non-muscle Invasive Bladder Cancer","Process","Patients with non-muscle invasive bladder cancer (specific ICD-10 C67.x codes) staged as T1, Tis, or high-grade Ta (specific observation codes) within 6 months before or after the measurement period (2024), who had an encounter during the measurement period.","Patients in the denominator who received intravesical BCG therapy (CPT 51720 or 90585) within 6 months after the staging date.","Patients with immunosuppression (diagnoses or medications), active tuberculosis, mixed histology bladder cancer (specific observation codes), or prior cystectomy, chemotherapy, or radiation therapy.","Patients with documented BCG unavailability (specific observation code).","Percentage of patients with non-muscle invasive bladder cancer at high risk of recurrence (T1, Tis, or high-grade Ta) who received intravesical Bacillus Calmette-Guerin (BCG) within 6 months of staging.","Y","2024-01-01","2024-12-31"
